### LC--->noradrenaline DR--->serotonin VLPO--->GABA WR--->acetylcholin R--->acetylcholin SCN--->GABA 
time	hypnogram	LC_F	LC_C	DR_F	DR_C	VLPO_F	VLPO_C	WR_F	WR_C	R_F	R_C	SCN_F	SCN_C	homeostatic
10	1	6.137615619736672	0.8793752275181255	4.019864352669465	0.849390249199464	0.006115601229972462	0.0004947303772536915	5.02850713917664	0.931391050644858	0.00441356639589986	0.0004108394384790649	4.288249785740883	0.8597968392771937	0.5085106153029879
12	1	6.17871470260576	0.8765879262673534	3.7286864745045936	0.8339309831642444	-0.014364948576012233	0.00027853645397646776	4.882851069342159	0.930917907659953	-0.0008523645171801948	0.0004506204661880504	4.281550545311582	0.8470337889155823	0.510198197102803
14	1	6.214032890518898	0.8741792897784765	3.4539967072593485	0.8171380544824077	-0.004042699591996695	-0.00022452810853546283	4.761673557164814	0.9293726724808203	-0.002521879307139838	0.0003516261035528715	4.267529719258682	0.8364675248971658	0.5118809640531812
16	1	6.233308288646699	0.8720802211997277	3.183720791932102	0.7989549882062079	-0.005123879656875248	-0.0004944276678765404	4.650850291113622	0.9270031112937779	0.005219399427230296	0.0002006018163188099	4.253680327144937	0.8276214940123298	0.5135589298913967
18	1	6.244658925585628	0.8701972066042684	2.935845156225704	0.7794170880179627	-0.010270173766382852	-0.0006910803499576847	4.55678059896477	0.924058032413861	0.0022433087784886883	0.00020666362557668897	4.247072451101103	0.8202106719487812	0.5152321083155312
20	1	6.2744697167497	0.868553198523834	2.720916739257403	0.7588524756492222	-0.018165982755281217	-0.0012617119707193337	4.464952058840156	0.9207180893443967	0.0020776389886880504	0.00020213379192245048	4.228503265665471	0.8138842217303038	0.5169005129845835
22	1	6.292867297585106	0.8671282085304086	2.4976299487700167	0.7372290846193535	-0.023570934308858735	-0.0018036912217870371	4.395633017758922	0.9170659006947524	0.00986715168775007	0.0003517911346022643	4.220603260424276	0.8085102754123077	0.5185641575185812
24	1	6.3045767814026386	0.8659023081932655	2.3074338484586345	0.7148235979745795	-0.008269282167488795	-0.002172280510337742	4.362731416047396	0.9135979494494568	-0.0038851762046245375	0.0006841886954048388	4.205203789846903	0.8038815233669325	0.5202230554986939
26	1	6.307865766867264	0.8647697645784928	2.140630431974433	0.6919408486627177	0.009602225245692205	-0.0015341130775402341	4.3094201044744525	0.9101420833697536	0.0005574004815250186	0.00044055518912904784	4.192498540530843	0.7998535283493586	0.5218772204673415
28	1	6.315022730379043	0.8637656616687096	1.996598695616272	0.6688502040972182	0.020163998217513086	-0.00051258528316643	4.290979535349162	0.9069291926521278	-0.000874865511093207	0.00030897884742693923	4.17453680214249	0.7963281324382429	0.5235266659283072
