### wake--->noradrenaline NREM--->GABA REM--->acetylcholin 
time	hypnogram	wake_F	wake_C	NREM_F	NREM_C	REM_F	REM_C	homeostatic
10	1	0.5410771662656267	0.6310551654216786	1.8704205041518418	0.3832389147131124	0.010452824060531026	0.0009466181387890914	0.48701338943130895
12	1	0.555081825291931	0.5908861504715356	1.567882196861561	0.38665001230756774	-0.0006377300432090938	0.0007740220149980456	0.4844568274836708
14	1	0.5626530491839339	0.5539577133759845	1.31893750723779	0.3787359095556301	-0.0026358693327990504	0.0004195534230417073	0.4819136861300733
16	1	0.5724467450157322	0.5200187857813624	1.1353265084186193	0.36371990785043506	0.004707357000406453	0.00031163321732286003	0.4793838949195176
18	1	0.592914759511862	0.48890932101898077	1.005572345396998	0.3449578151292896	0.0029195054327300824	0.0002266791085888157	0.47686738377083415
20	1	0.6240170700028874	0.46055680524593184	0.9423439503738482	0.3254363576224456	-0.005314039104081886	0.00017766478969792498	0.4743640829707433
22	1	0.6651775970382485	0.43504644422744043	0.9490095868878079	0.3083215101752846	0.010496772889361747	0.0005371707430887361	0.4718739231719226
24	1	0.7208402953514755	0.4121576192232192	0.9907651211346923	0.2955002041590182	0.022792326506414173	0.0014441918494691964	0.46939683539108595
26	0	0.7728881268659088	0.39187565505485294	1.1036433851274894	0.288332142241489	0.04096113079837894	0.0031697613127599665	0.46693275100707365
28	0	0.8178189873647213	0.37385517224824755	1.2405511652780026	0.2877381850102869	0.053892378105780694	0.005581108177577745	0.46448160175895
30	0	0.8539009788937553	0.3578697836435315	1.3936251751446302	0.2932614648892045	0.06336412566914672	0.0082473250542273	0.46204331974411317
32	0	0.8896642241223206	0.3436019879329328	1.585811894988266	0.3048914477150961	0.072750212674292	0.010976515254662495	0.4596178374164144
34	0	0.9089344727244524	0.33088814787824844	1.7672701229112007	0.3216479058619675	0.09556907021721721	0.014238031439503186	0.4572050875842858
36	0	0.9221450663591089	0.3193483523243178	1.948433611788351	0.34201398032601443	0.10217607238923379	0.017490629439406106	0.45480500340888047
38	0	0.9219498847241168	0.30880725486309124	2.1419036916066063	0.3655602601458382	0.09551311475319328	0.020141643569032534	0.45241751840221905
40	0	0.8929974501222661	0.29893893762219514	2.3094862996829106	0.3909660815893219	0.09544947438222132	0.022193462927572096	0.45004256642534884
42	0	0.8833432242533757	0.2894871985015601	2.4859735949284123	0.4175603566919748	0.08675481004703019	0.02351914369990059	0.4476800816865125
44	0	0.8496253616372441	0.28047322039510003	2.656129549002389	0.4447309966329456	0.07684275182139404	0.024239330854307406	0.44532999873932316
46	0	0.8129408524709871	0.27158747277205164	2.8092096240437034	0.47202018126800116	0.07058352593359869	0.02424974694883047	0.442992252480954
48	0	0.7468029563837978	0.2625016585611373	2.9558870813535747	0.4984639897139521	0.054774904253888916	0.02388419813569824	0.44066677815033295
50	0	0.7262454846340537	0.2535162668781899	3.1055829149824823	0.5242949026727096	0.055431198681517795	0.023128335918791813	0.4383535113263488
